Faculty Name,University,Conference,Category,Score,Source File,Matched
Aaron C. Courville,University of Montreal,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Aasa Feragen,DTU,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Abhinav Shrivastava,University of Maryland - College Park,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Achi Brandt,Weizmann Institute of Science,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Adam Finkelstein,Princeton University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Aishwarya Agrawal,University of Montreal,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Ajmal Mian,University of Western Australia,CVPR,Computer Vision & Image Processing,0.45,CVPR2022_621_fulln.csv,Yes
Alan L. Yuille,Johns Hopkins University,CVPR,Computer Vision & Image Processing,0.4,CVPR2022_621_fulln.csv,Yes
Alessio Benavoli,Trinity College Dublin,CVPR,Computer Vision & Image Processing,0.45,CVPR2022_621_fulln.csv,Yes
Alexander Binder,University of Magdeburg,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Alexander C. Berg,Univ. of California - Irvine,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Alexander Krull,University of Birmingham,CVPR,Computer Vision & Image Processing,0.5952380952380951,CVPR2022_621_fulln.csv,Yes
Alexander S. Ecker,University of Göttingen,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Alexandre Alahi,EPFL,CVPR,Computer Vision & Image Processing,1.0,CVPR2022_621_fulln.csv,Yes
Alexei A. Efros,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Alla Sheffer,University of British Columbia,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Amir R. Zamir,EPFL,CVPR,Computer Vision & Image Processing,0.3409090909090909,CVPR2022_621_fulln.csv,Yes
Amos J. Storkey,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Anastasios Roussos,University of Exeter,CVPR,Computer Vision & Image Processing,0.3428571428571428,CVPR2022_621_fulln.csv,Yes
Andrew Markham,University of Oxford,CVPR,Computer Vision & Image Processing,0.0909090909090909,CVPR2022_621_fulln.csv,Yes
Andrés Bruhn,University of Stuttgart,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Angel X. Chang,Simon Fraser University,CVPR,Computer Vision & Image Processing,0.3678321678321679,CVPR2022_621_fulln.csv,Yes
Angela Dai,TU Munich,CVPR,Computer Vision & Image Processing,1.25,CVPR2022_621_fulln.csv,Yes
Angjoo Kanazawa,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,1.1666666666666663,CVPR2022_621_fulln.csv,Yes
Anima Anandkumar,California Institute of Technology,CVPR,Computer Vision & Image Processing,0.125,CVPR2022_621_fulln.csv,Yes
Antonino Furnari,University of Catania,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Armando Solar-Lezama,Massachusetts Institute of Technology,CVPR,Computer Vision & Image Processing,0.525,CVPR2022_621_fulln.csv,Yes
Arnold W. M. Smeulders,University of Amsterdam,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Asja Fischer,Ruhr-University Bochum,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Barzan Mozafari,University of Michigan,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Bei Yu 0001,Chinese University of Hong Kong,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Bernard Ghanem,KAUST,CVPR,Computer Vision & Image Processing,1.8666666666666665,CVPR2022_621_fulln.csv,Yes
Bernhard Pfahringer,University of Waikato,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Bharath Hariharan,Cornell University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Bjoern Andres,TU Dresden,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Björn Ommer,LMU Munich,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Bohan Zhuang,Zhejiang University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Bolei Zhou,Univ. of California - Los Angeles,CVPR,Computer Vision & Image Processing,0.5928571428571429,CVPR2022_621_fulln.csv,Yes
Brian Curless,University of Washington,CVPR,Computer Vision & Image Processing,0.5535714285714286,CVPR2022_621_fulln.csv,Yes
Can Gao,Shenzhen University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Carsten Rother,Heidelberg University,CVPR,Computer Vision & Image Processing,1.495238095238095,CVPR2022_621_fulln.csv,Yes
Cewu Lu,Shanghai Jiao Tong University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Chandrajit L. Bajaj,University of Texas at Austin,CVPR,Computer Vision & Image Processing,0.5,CVPR2022_621_fulln.csv,Yes
Changqing Zhang,Tianjin University,CVPR,Computer Vision & Image Processing,0.3666666666666667,CVPR2022_621_fulln.csv,Yes
Changshui Zhang,Tsinghua University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Chaoning Zhang,UESTC,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Chaoqi Chen,Shenzhen University,CVPR,Computer Vision & Image Processing,0.4,CVPR2022_621_fulln.csv,Yes
Chee Seng Chan,University of Malaya,CVPR,Computer Vision & Image Processing,0.0833333333333333,CVPR2022_621_fulln.csv,Yes
Chelsea Finn,Stanford University,CVPR,Computer Vision & Image Processing,1.0666666666666669,CVPR2022_621_fulln.csv,Yes
Chen Change Loy,Nanyang Technological University,CVPR,Computer Vision & Image Processing,1.006190476190476,CVPR2022_621_fulln.csv,Yes
Chenliang Xu,University of Rochester,CVPR,Computer Vision & Image Processing,0.9,CVPR2022_621_fulln.csv,Yes
Chi-Keung Tang,HKUST,CVPR,Computer Vision & Image Processing,0.9166666666666664,CVPR2022_621_fulln.csv,Yes
Chi-Wing Fu,Chinese University of Hong Kong,CVPR,Computer Vision & Image Processing,0.1428571428571428,CVPR2022_621_fulln.csv,Yes
Chris Xiaoxuan Lu,University College London,CVPR,Computer Vision & Image Processing,0.0909090909090909,CVPR2022_621_fulln.csv,Yes
Christian Richardt,University of Bath,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Christoph Meinel,Hasso Plattner Institute,CVPR,Computer Vision & Image Processing,0.5333333333333333,CVPR2022_621_fulln.csv,Yes
Christopher D. Manning,Stanford University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Christopher K. I. Williams,University of Edinburgh,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Christopher Potts,Stanford University,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Christopher Ré,Stanford University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Chunhua Shen,Zhejiang University,CVPR,Computer Vision & Image Processing,0.9773809523809522,CVPR2022_621_fulln.csv,Yes
Chunxia Xiao,Wuhan University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Colin Raffel,University of Toronto,CVPR,Computer Vision & Image Processing,0.3095238095238095,CVPR2022_621_fulln.csv,Yes
Dacheng Tao,Nanyang Technological University,CVPR,Computer Vision & Image Processing,1.2833333333333332,CVPR2022_621_fulln.csv,Yes
Dahua Lin,Chinese University of Hong Kong,CVPR,Computer Vision & Image Processing,0.2228571428571428,CVPR2022_621_fulln.csv,Yes
Dan Alistarh,IST Austria,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Danfei Xu,Georgia Institute of Technology,CVPR,Computer Vision & Image Processing,0.8,CVPR2022_621_fulln.csv,Yes
Dani Lischinski,Hebrew University of Jerusalem,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Danica J. Sutherland,University of British Columbia,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Daniel Cohen-Or,Tel Aviv University,CVPR,Computer Vision & Image Processing,0.5333333333333333,CVPR2022_621_fulln.csv,Yes
Daniel Cremers,TU Munich,CVPR,Computer Vision & Image Processing,0.5277777777777778,CVPR2022_621_fulln.csv,Yes
Daniel Lopresti,Lehigh University,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Daniel Soudry,Technion,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
Daniele Panozzo,New York University,CVPR,Computer Vision & Image Processing,0.1111111111111111,CVPR2022_621_fulln.csv,Yes
Darren Cosker,University of Bath,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
David A. Wagner 0001,Univ. of California - Berkeley,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
David Bau,Northeastern University,CVPR,Computer Vision & Image Processing,0.3428571428571428,CVPR2022_621_fulln.csv,Yes
David Duvenaud,University of Toronto,CVPR,Computer Vision & Image Processing,0.2,CVPR2022_621_fulln.csv,Yes
David McAllester,TTI Chicago,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Denis Zorin,New York University,CVPR,Computer Vision & Image Processing,0.1111111111111111,CVPR2022_621_fulln.csv,Yes
Derek Hoiem,Univ. of Illinois at Urbana-Champaign,CVPR,Computer Vision & Image Processing,0.5833333333333333,CVPR2022_621_fulln.csv,Yes
Deva Ramanan,Carnegie Mellon University,CVPR,Computer Vision & Image Processing,0.825,CVPR2022_621_fulln.csv,Yes
Dezhong Peng,Sichuan University,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Dima Damen,University of Bristol,CVPR,Computer Vision & Image Processing,0.1,CVPR2022_621_fulln.csv,Yes
Dinesh Jayaraman,University of Pennsylvania,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Dong Gong,UNSW,CVPR,Computer Vision & Image Processing,0.125,CVPR2022_621_fulln.csv,Yes
Dongfang Liu,Rochester Institute of Technology,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
Dylan Campbell,Australian National University,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Eduard Hovy,University of Melbourne,CVPR,Computer Vision & Image Processing,0.3333333333333333,CVPR2022_621_fulln.csv,Yes
Edward Johns,Imperial College London,CVPR,Computer Vision & Image Processing,0.1666666666666666,CVPR2022_621_fulln.csv,Yes
Eibe Frank,University of Waikato,CVPR,Computer Vision & Image Processing,0.25,CVPR2022_621_fulln.csv,Yes
